CNJ,NATURE,SUBJECT,IsCriminal,JusticeSegmentVerifier,NatureVerifier,NatureVerifier2,SubjectVerifier,IsCriminalVerifier
0020371-28.2014.8.13.0528,Ação Penal - Procedimento Sumário,PENAL > Crimes Previstos na Legislação Extravagante > Crimes do Sistema Nacional de Armas,TRUE,ok,ok,ok,ok,true
5004044-02.2022.8.13.0702,[CRIMINAL] TERMO CIRCUNSTANCIADO,DIREITO PENAL / Crimes Contra a Administração da Justiça / Comunicação falsa de crime ou de contravençã,TRUE,ok,ok,ok,ok,true
5007239-86.2018.4.04.7114,AÇÃO PENAL,"Crimes contra a Ordem Tributária (art. 1º ao 3º da Lei 8.137/90 e art. 1º da Lei 4.729/65), Crimes Previstos na Legislação Extravagante, DIREITO PENAL",TRUE,ok,ok,ok,ok,true
0803541-59.2021.8.15.0331,Inquérito Policial,Crimes de Trânsito (3632) - Crimes de Trânsito (3632),TRUE,ok,ok,ok,ok,true
0096860-72.2018.8.09.0142,Processo Físico - Cálculo de Liquidação de Pena,Execução Penal -,TRUE,ok,ok,ok,ok,true
0010121-80.2016.8.26.0502,Execução Provisória,"Aberto, Regime Inicial - Fechado, Semi-aberto",TRUE,ok,ok,no,ok,true
5000682-82.2020.8.24.0046,Carta Precatória Criminal -  Penal - Comum,"Furto Qualificado, Crimes contra o Patrimônio, DIREITO PENAL - Crimes do Sistema Nacional de Armas, Crimes Previstos na Legislação Extravagante, DIREITO PENAL",TRUE,ok,ok,ok,ok,true
0002643-21.2018.4.03.6000,60 . CARTA PRECATORIA,FATO ATIPICO - DIREITO PENAL,TRUE,ok,ok,no,ok,true
0009525-46.2015.8.19.0205,Medidas Protetivas de urgência (Lei Maria da Penha),"Lesão Corporal Decorrente de Violência Doméstica (Art. 129, § 9º e / Ou § 11 - Cp); Violência Doméstica Contra a Mulher (Art. 7º, Lei 11340/06)",TRUE,ok,ok,ok,ok,true
0059277-83.2016.8.19.0000,Habeas Corpus,"Furto Qualificado  ,  Crimes contra o Patrimônio ,  DIREITO PENAL",TRUE,ok,ok,ok,ok,true
5000328-29.2020.4.04.7004,PROCED.INVESTIGATÓRIO DO MP (PEÇAS DE INFORMAÇÃO),Descaminho (art. 334) - Direito Penal - Crimes Praticados por Particular Contra a Administração em Geral,TRUE,ok,ok,ok,ok,true
5005503-12.2020.8.21.0015,Carta Precatória,"Citação, Objetos de cartas precatórias/de ordem, DIREITO PROCESSUAL CIVIL E DO TRABALHO - Atos executórios, Objetos de cartas precatórias/de ordem, DIREITO PROCESSUAL CIVIL E DO TRABALHO",FALSE,ok,ok,no,ok,true
0002283-84.2009.8.26.0582,Crime de Estelionato e Outras Fraudes,Estelionato,TRUE,ok,ok,ok,ok,true
